#Puck,v_x (m/s), v_y (m/s)
9,-0.0934275,-0.0570674
10,0.00350974,0.0220454
11,-0.0508273,0.275961
12,-0.0263961,0.233414
13,-0.0452341,0.142356
14,0.204849,-0.654314
15,0.558968,-0.194005
16,0.225778,0.362783
17,0.157057,0.277621
18,-0.180124,-0.661262
19,0.0885907,-0.119337
20,0.161331,-0.254322
0,0.157017,-0.0352747
1,0.330279,0.171717
2,-0.26982,-0.574582
3,0.441045,-0.0168897
4,-0.31599,0.112727
5,-0.315416,-0.15949
6,0.306198,-0.108244
7,0.379512,-0.0576795
8,0.318133,-0.0837935
9,-0.0940874,-0.0567825
10,0.00181828,0.0203563
11,-0.0500755,0.293658
12,-0.0281459,0.244867
13,-0.0461274,0.138005
14,0.118592,-0.636897
15,0.558062,-0.189035
16,0.226307,0.350784
17,0.166743,0.275513
18,-0.18887,-0.657098
19,0.0647146,-0.123948
20,0.158983,-0.255844
0,0.156402,-0.0612481
1,0.3349,0.174518
2,-0.272219,-0.574009
3,0.443081,-0.0177187
4,-0.0173787,0.277364
5,-0.331626,-0.175685
6,0.327593,-0.128789
7,0.375306,-0.0338328
8,0.319936,-0.0937814
9,-0.0937363,-0.0568726
10,0.0138423,0.017375
11,-0.0503623,0.279919
12,-0.0349522,0.238469
13,-0.0478423,0.145374
14,0.149695,-0.683717
15,0.561589,-0.193555
16,0.223292,0.336374
17,0.157665,0.275401
18,-0.178547,-0.662908
19,0.0736705,-0.134317
20,0.167698,-0.245193
0,0.143952,-0.0611359
1,0.335641,0.17761
2,-0.269878,-0.575944
3,0.440313,-0.0178474
4,0.0464748,-0.0475078
5,-0.314983,-0.177729
6,0.323921,-0.132909
7,0.373947,-0.0375107
8,0.31676,-0.0910454
9,-0.0963169,-0.0611166
10,0.0032014,0.0195457
11,-0.0564352,0.283128
12,-0.0426021,0.109044
13,-0.0459933,0.146948
14,0.136712,-0.565601
15,0.555439,-0.18988
16,0.235682,0.344289
17,0.159183,0.26014
18,-0.178981,-0.659005
19,0.0658303,-0.143713
20,0.165168,-0.241263
0,0.140893,-0.0585838
1,0.335084,0.186265
2,-0.272154,-0.570325
3,0.438812,-0.0156748
4,0.0692408,-0.133083
5,-0.314521,-0.172156
6,0.321644,-0.140218
7,0.373365,-0.0321326
8,0.319319,-0.0886891
9,-0.0968794,-0.0576648
10,-0.000668127,0.0180698
11,-0.0676775,0.279169
12,-0.0356892,-0.198168
13,-0.0511784,0.143882
14,0.0969952,-0.609361
15,0.559845,-0.190985
16,0.228279,0.320606
17,0.180791,0.26771
18,-0.183157,-0.656226
19,0.0662953,-0.135914
20,0.16049,-0.245625
0,0.1367,-0.0603208
1,0.329809,0.177119
2,-0.270488,-0.571533
3,0.438909,-0.0177996
4,-0.221789,-0.506128
5,-0.323358,-0.166629
6,0.326542,-0.153265
7,0.373023,-0.0325241
8,0.320357,-0.0909204
9,-0.0972084,-0.0565124
10,-0.00360026,0.0294307
11,-0.1019,0.220285
12,-0.0489599,-0.157309
13,-0.0425561,0.147223
14,-0.333003,0.0341342
15,0.560142,-0.189347
16,0.240139,0.330487
17,0.153564,0.250245
18,-0.229623,0.136024
19,0.108883,-0.0442692
20,0.157709,-0.244136
0,0.135598,-0.0616607
1,0.330165,0.174068
2,-0.273129,-0.573016
3,0.437712,-0.0172812
4,-0.520028,-0.188978
5,-0.311518,-0.161665
6,0.313963,-0.149736
7,0.369979,-0.0349448
8,0.313917,-0.0884768
9,-0.0962067,-0.0551173
10,-0.00316855,0.0172022
11,-0.121964,0.14892
12,-0.108119,-0.147832
13,-0.0511747,0.147925
14,-0.536355,-0.156509
15,0.559711,-0.192177
16,0.262105,0.324098
17,0.162536,0.241687
18,-0.135447,0.642332
19,0.154909,0.0507097
20,0.151873,-0.244099
0,0.137896,-0.0596131
1,0.313696,0.178426
2,-0.272834,-0.568835
3,0.436014,-0.0160167
4,-0.607389,0.138447
5,-0.317755,-0.159636
6,0.318267,-0.159834
7,0.368268,-0.0369942
8,0.316679,-0.0926271
9,-0.0983921,-0.0562293
10,-0.00834516,0.0175808
11,-0.0576813,0.163977
12,-0.145692,-0.157101
13,-0.0536707,0.148787
14,-0.659389,-0.258987
15,0.558814,-0.18794
16,0.273153,0.310621
17,0.1481,0.250117
18,0.0997412,0.200327
19,0.156349,0.0420304
20,0.143024,-0.246874
0,0.124483,-0.0733653
1,0.304041,0.173836
2,-0.272082,-0.567614
3,0.434319,-0.015162
4,-0.671735,0.179707
5,-0.313343,-0.16399
6,0.286614,-0.140695
7,0.366821,-0.0359539
8,0.320333,-0.0839074
9,-0.0994508,-0.0569719
10,-0.00418889,0.0165148
11,-0.145464,0.116774
12,-0.156559,-0.204522
13,-0.0529815,0.147146
14,0.206708,-0.289725
15,0.55976,-0.189421
16,0.254113,0.325813
17,0.174305,0.24145
18,0.16438,0.217134
19,0.152283,0.0477394
20,0.134156,-0.253508
0,0.144685,-0.0685111
1,0.306535,0.169583
2,-0.274119,-0.569608
3,0.433752,-0.0191119
4,-0.681651,0.179429
5,-0.320405,-0.169318
6,0.30605,-0.160182
7,0.366384,-0.0308533
8,0.320174,-0.0896154
9,-0.0986512,-0.0570638
10,-0.00952702,0.0221686
11,-0.170186,0.106092
12,-0.0979418,-0.212935
13,-0.0499524,0.14873
14,-0.0386099,-0.665648
15,0.559348,-0.191622
16,0.246162,0.327868
17,0.153528,0.226877
18,0.109275,0.213746
